titleComplete,genres
"Revenge of the Mantis (Society for Paranormals, #3)",fantasy
"Revenge of the Mantis (Society for Paranormals, #3)",steampunk
"Revenge of the Mantis (Society for Paranormals, #3)",cozy mystery
"Revenge of the Mantis (Society for Paranormals, #3)",mystery
"Revenge of the Mantis (Society for Paranormals, #3)",historical
"Revenge of the Mantis (Society for Paranormals, #3)",historical fiction
"Revenge of the Mantis (Society for Paranormals, #3)",paranormal
Doomsday,
Just Wait and See,
Homing in,
The Black Hand Gang,
Growing Up at Lina School,
The Present Moment,fiction
Song Of Nyarloka And Other Poems,
Victoria and Murder in Majengo (Macmillan Modern Writers),
The Story Of Kenya: A Nation In The Making,
Elefanti in giardino,roman
Elefanti in giardino,fiction
Elefanti in giardino,travel
"Best of whispers politics, family and society",
Pregnancy of the Gods,
Amina the Milkmaid,
Chira,
Treasure in The Winds,
The Miracle Merchant,
Pride of the Spider Clan,
African Nights,autobiography
African Nights,biography
African Nights,nonfiction
African Nights,travel
African Nights,own
African Nights,memoir
African Nights,short stories
Let's fight Tuberculosis,
Pride of the Spider Clan,
Night Of The Lions,travel
Night Of The Lions,nonfiction
Looking For Something: A Collection of 14 Flash Fiction Stories,
A Rainy Season,
15 Common Mistakes Self-Publishing Authors Make: And How To Avoid Them,
Nothing Comes Close,romance
Fertile Imagination: A Collection of 12 Flash Fiction Stories,
The Buzz about Malaria,
Crows of the Yellow Stream,
The Politics and Economics of Removing Subsidies on Petroleum Products in Nigeria,
Democracy and Good Governance in Nigeria: A Survey of Indices of Transparency and Accountability,
Gina,
"The African Union and New Strategies for Development in Africa, Student Edition",
Memoirs of a Lagos Wedding Planner,short stories
"State, Economy, and Society in Post-Military Nigeria",
Nigeria: Her Woes and Their True Remedies,
Developmental Regionalism and Economic Transformation in Southern Africa,
"Voice and Power in Africa's Democracy: Institutions, Participation and Accountability",
Repentance from Dead Works: Vol I. of the Foundation of Biblical Faith,
National Democratic Reforms in Africa: Changes and Challenges,
Yellow Yellow,fiction
"Nigerian Women of Distinction, Honour and Exemplary Presidential Qualities: Equal Opportunities for All Genders (White, Black or Coloured People)",
Challenge of the Barons,
The People's Republic,
Voice of Wisdom (The Voices),
Awo: The Autobiography of Chief Obafemi Awolowo,history
Path to Nigerian Freedom,
Voice of Reason (The Voices),
A History of Nigeria,
The Soul of My Heart,
The Schemers,
Wages of Sin,
Forever Yours,
Kaico!,
Please Forgive Me (Heartbeats),
Surviving Biafra: A Nigerwife's Story,
Doing Dangerously Well,fiction
Precious Child,
Waiting for Tomorrow,
John Paul II and Africa,
Léopold Sédar Senghor: Black Renaissance and Racism,
Behind the Rising Sun,
"Igbo nation: history, challenges of rebirth and development: Volume 2",
The Republic of Biafra: Once Upon a Time in Nigeria: My Story of the Biafra-Nigerian Civil War - A Struggle for Survival (1967-1970),
Love Letters (Pacesetters),
Felicia (Pacesetter),
BITTER-SWEET: My life with Obasanjo,
Africa - A miner's canary into the 21st century: Essays on economic governance,
Between Faith And History: A Biography Of J. A. Kufuor,
May Their Shadows Never Shrink: Wole Soyinka and the Oxford Professorship of Poetry,
Essays in Honour of Wole Soyinka at 80,
The Nigeria Biafra War Letters: A Soldier's Story,
The Gods Who Send Us Gifts: An Anthology of African Short Stories,
Some African Voices of Our Time,
"Musalma Kaise Kaise [Paperback] [Jan 01, 2010] Mahmood Mamdani",
Telephone Conversations: A History of Telecommunication Economics and Mtn in Ghana,
"Guter Moslem, böser Moslem: Amerika und die Wurzeln des Terrors",
"Good Muslim, Bad Muslim: America, the Cold War, and the Roots of Terror, Signed",
General Assembly Distinguished Lectures,
Uganda Studies in Labour,
A Decade Of Tongues: Selected Poems 1958 1968,
Building Blocks Towards an African Century: Essays in Honour of Thabo Mbeki Former President of the Republic of South Africa,
Colonial Meltdown: Northern Nigeria in the Great Depression,
A Reed In The Tide; A Selection Of Poems,
"Casualties: Poems, 1966 68",poetry
Bad Bitches and Power Pitches Workbook,
